ID,City,Parent Product Line,Product Line,Source of Contact,Sales Stage,Sales Team
2906,UDUPI,Altroz,Altroz XE 1.2 P,External Leads-Web,07 Closed Lost,AA10_3009550
2907,UDUPI,Tiago,Tiago (P) XE New,External Leads-Web,07 Closed Lost,AA10_3009550
2908,KUNDAPURA,Nexon,Nexon (P) XE New,External Leads-Web,07 Closed Lost,AA10_3009550
2909,PERDOOR,Punch,Punch Adventure,External Leads-Web,07 Closed Lost,AA10_3009550
2910,BENGALURU RURAL,Punch,Punch Creative,External Leads-Web,07 Closed Lost,AA10_3009550
2911,KUNDAPURA,Harrier,Harrier XM New,External Leads-Web,07 Closed Lost,AA10_3009550
2912,KUNDAPURA,Nexon,Nexon (P) XZ New,External Leads-Web,07 Closed Lost,AA10_3009550
2913,UDUPI,Harrier,Harrier XMA,External Leads-Web,07 Closed Lost,AA10_3009550
2914,UDUPI,Punch,Punch Creative,External Leads-Web,07 Closed Lost,AA10_3009550
2915,UDUPI,Nexon EV,Nexon EV XM,Referral,02a Pink Form,AA10_3009550
2916,BASRUR,Harrier,Harrier XE New,External Leads-Web,07 Closed Lost,AA10_3009550
2917,UDUPI,Nexon,Nexon (P) XM New,External Leads-Web,07 Closed Lost,AA10_3009550
2918,KUNDAPURA,Altroz,Altroz XZ 1.2 P,Referral,06 Sale Closed,AA10_3009550
2919,KUNDAPURA,Punch,Punch Creative,External Leads-Web,07 Closed Lost,AA10_3009550
2920,KUNDAPURA,Punch,Punch Adventure,External Leads-Web,07 Closed Lost,AA10_3009550
2921,SARALEBETTU,Nexon,Nexon (P) XZA+ Dark,Digital Lead-Dealer,06 Sale Closed,AA10_3009550
2922,UDUPI,Tigor,Tigor (P) XZ New,External Leads-Chat,07 Closed Lost,AA10_3009550
2923,UDUPI,Tiago,Tiago (P) XTA New,Events,02a Pink Form,AA10_3009550
2924,,Nexon,Nexon (P) XZ+ (S) New,External Leads - SSS Self,07 Closed Lost,AA10_3009550
2925,UDUPI,Nexon,Nexon (P) XM New,External Leads-Tollfree,07 Closed Lost,AA10_3009550
2926,KUNDAPURA,Nexon,Nexon (P) XE New,External Leads-Web,07 Closed Lost,AA10_3009550
2927,KUNDAPURA,Punch,Punch Adventure,External Leads-Web,07 Closed Lost,AA10_3009550
2928,UDUPI,Tigor,Tigor (P) XM New,External Leads-Web,07 Closed Lost,AA10_3009550
2929,KUNDAPURA,Tiago,Tiago (P) XE New,External Leads-Web,07 Closed Lost,AA10_3009550
2930,KUNDAPURA,Harrier,Harrier XE New,External Leads-Web,07 Closed Lost,AA10_3009550
2931,KUNDAPURA,Harrier,Harrier XM New,External Leads-Web,07 Closed Lost,AA10_3009550
2932,NAGAMANGALA,Nexon,Nexon (D) XM New,External Leads-Web,07 Closed Lost,AA10_3009550
2933,UDUPI,Tiago,Tiago (P) XZ New,Digital Lead-Dealer,07 Closed Lost,AA10_3009550
2934,KUNDAPURA,Tigor,Tigor (P) XE New,External Leads-Web,07 Closed Lost,AA10_3009550
2935,KUNDAPURA,Altroz,Altroz XE 1.5 D,External Leads-Web,07 Closed Lost,AA10_3009550
2936,KUNDAPURA,Tiago,Tiago (P) XE New,External Leads-Web,07 Closed Lost,AA10_3009550
2937,KUNDAPURA,Punch,Punch Pure,Digital Lead-Dealer,02a Pink Form,AA10_3009550
2938,KUNDAPURA,Nexon,Nexon (P) XZ New,External Leads-Web,07 Closed Lost,AA10_3009550
2939,KUNDAPURA,Punch,Punch Creative,External Leads-Tollfree,07 Closed Lost,AA10_3009550
2940,KUNDAPURA,Tigor,Tigor (P) XE New,External Leads-Web,07 Closed Lost,AA10_3009550
2941,KUNDAPURA,Harrier,Harrier XE New,External Leads-Web,07 Closed Lost,AA10_3009550
2942,KUNDAPURA,Harrier,Harrier XZA+,External Leads-Web,07 Closed Lost,AA10_3009550
2943,UDUPI,Tiago,Tiago (P) XE New,Cold Calling,06 Sale Closed,AA10_3009550
2944,KOTESHWAR,Tiago,Tiago (P) XZ+ New,Events,06 Sale Closed,AA10_3009550
2945,108 KALTHUR,Punch,Punch Accomplish AMT,External Leads-Web,07 Closed Lost,AA10_3009550
2946,UDUPI,Nexon,Nexon (P) XE New,External Leads-Web,07 Closed Lost,AA10_3009550
2947,UDUPI,Tiago,Tiago (P) XE New,External Leads-Web,07 Closed Lost,AA10_3009550
2948,UDUPI,Altroz,Altroz XE 1.2 P,External Leads-Web,07 Closed Lost,AA10_3009550
2949,UDUPI,Altroz,Altroz XE 1.2 P,External Leads-Web,07 Closed Lost,AA10_3009550
2950,KIDIYOOR (OG),Punch,Punch Adv Camo,Call to Dealer,07 Closed Lost,AA10_3009550
2951,52 HEROOR,Nexon,Nexon (D) XM New,External Leads-Web,07 Closed Lost,AA10_3009550
2952,KUNDAPURA,Nexon,Nexon (D) XZ+ (O) New,External Leads-Web,07 Closed Lost,AA10_3009550
2953,A. TIMMASAGAR,Altroz,Altroz XE 1.5 D,External Leads-Web,07 Closed Lost,AA10_3009550
2954,UDUPI,Punch,Punch Accomplish,External Leads-Web,07 Closed Lost,AA10_3009550
2955,HANEHALLI,Punch,Punch Adventure,Showroom Walk-in,06 Sale Closed,AA10_3009550
2956,VARANGA,Nexon,Nexon (P) XZ+ HS Dark,Call to Dealer,06 Sale Closed,AA10_3009550
2957,UDUPI,Altroz,Altroz XM 1.2 P,External Leads-Web,07 Closed Lost,AA10_3009550
2958,ACHALADY,Punch,Punch Acc Dazzle Camo,External Leads-Web,03 Open Yellow / Booked,AA10_3009550
2959,KASTURBA NAGARA,Nexon,Nexon (D) XZ+ (O) Dark,Call to Dealer,07 Closed Lost,AA10_3009550
2960,SALIGRAM,Punch,Punch Accomplish,External Leads-Web,07 Closed Lost,AA10_3009550
2961,UDUPI,Punch,Punch Pure,External Leads-Web,07 Closed Lost,AA10_3009550
2962,UDUPI,Harrier,Harrier XZ+ Dark Edition New,External Leads-Web,07 Closed Lost,AA10_3009550
2963,UDUPI,Tiago,Tiago (P) XE New,External Leads-Web,07 Closed Lost,AA10_3009550
2964,IRODY,Nexon,Nexon (P) XE New,External Leads-Web,07 Closed Lost,AA10_3009550
2965,108 KALTHUR,Tiago,Tiago (P) XE New,External Leads-Web,07 Closed Lost,AA10_3009550
2966,ANJARU,Tigor,Tigor XM CNG,External Leads-Web,07 Closed Lost,AA10_3009550
2967,UTTAR KANNADA,Safari 2.0,Safari XE,External Leads-Web,07 Closed Lost,AA10_3009550
2968,UDUPI,Tiago,Tiago (P) XE New,External Leads-Web,07 Closed Lost,AA10_3009550
2969,CHITPADY,Nexon,Nexon (D) XMA+ (S),Call to Dealer,07 Closed Lost,AA10_3009550
2970,UDUPI,Tiago,Tiago (P) XE New,External Leads-Web,07 Closed Lost,AA10_3009550
2971,UDUPI,Altroz,Altroz XE 1.2 P,External Leads-Web,07 Closed Lost,AA10_3009550
2972,UTTARA KANNADA,Safari 2.0,Safari XMS,External Leads-Web,07 Closed Lost,AA10_3009550
2973,GANGAWATI,Harrier,Harrier XE New,External Leads-Web,07 Closed Lost,AA10_3009550
2974,UDUPI,Safari 2.0,Safari XE,External Leads-Web,07 Closed Lost,AA10_3009550
2975,UTTAR KANNADA,Safari 2.0,Safari XE,External Leads-Web,07 Closed Lost,AA10_3009550
2976,KALTHODU,Altroz,Altroz XZ+ 1.5 D,External Leads-Web,07 Closed Lost,AA10_3009550
2977,,Safari 2.0,Safari XT+ Dark,External Leads-Web,07 Closed Lost,AA10_3009550
2978,KAPU,Tigor,Tigor XZ CNG,Call to Dealer,07 Closed Lost,AA10_3009550
2979,108 KALTHUR,Punch,Punch Adventure,External Leads-Web,07 Closed Lost,AA10_3009550
2980,UDUPI,Punch,Punch Pure,External Leads-Web,07 Closed Lost,AA10_3009550
2981,YEDTHADY,Tiago,Tiago (P) XZ New,Call to Dealer,07 Closed Lost,AA10_3009550
2982,UDUPI,Punch,Punch Adventure,Referral,07 Closed Lost,AA10_3009550
2983,UDUPI,Punch,Punch Accomplish,Digital Lead-Dealer,02a Pink Form,AA10_3009550
2984,UDUPI,Punch,Punch Adventure,Digital Lead-Dealer,07 Closed Lost,AA10_3009550
2985,UDUPI,Altroz,Altroz XZ(O) 1.2 P,Cold Calling,07 Closed Lost,AA10_3009550
2986,UDUPI,Punch,Punch Adventure AMT,External Leads-Web,07 Closed Lost,AA10_3009550
2987,UDUPI,Altroz,Altroz XE 1.2 P,External Leads-Web,07 Closed Lost,AA10_3009550
2988,KUNDAPURA,Nexon,Nexon (P) XE New,External Leads-Web,07 Closed Lost,AA10_3009550
2989,KUNDAPURA,Tigor,Tigor (P) XE New,External Leads-Web,07 Closed Lost,AA10_3009550
2990,UDUPI,Harrier,Harrier XTA+,Referral,07 Closed Lost,AA10_3009550
2991,UDUPI,Punch,Punch Creative AMT,Digital Lead-Dealer,02a Pink Form,AA10_3009550
2992,UDUPI,Altroz,Altroz XZ 1.2 P,Digital Lead-Dealer,06 Sale Closed,AA10_3009550
2993,UDUPI,Punch,Punch Accomplish,External Leads-Web,07 Closed Lost,AA10_3009550
2994,UDUPI,Harrier,Harrier XE New,External Leads-Web,07 Closed Lost,AA10_3009550
2995,UDUPI,Harrier,Harrier XZ+ New,External Leads-Web,07 Closed Lost,AA10_3009550
2996,UDUPI,Punch,Punch Accomplish,External Leads-Web,07 Closed Lost,AA10_3009550
2997,KUNDAPURA,Punch,Punch Creative,External Leads-Web,07 Closed Lost,AA10_3009550
2998,KUNDAPURA,Tiago,Tiago (P) XE New,External Leads-Web,07 Closed Lost,AA10_3009550
2999,KUNDAPURA,Nexon,Nexon (D) XM (S),External Leads-Web,07 Closed Lost,AA10_3009550
3000,GREAT NICOBAR,Tiago,Tiago (P) XTA New,External Leads-Web,07 Closed Lost,AA10_3009550
3001,UDUPI,Nexon,Nexon (D) XM+ (S),External Leads-Web,07 Closed Lost,AA10_3009550
3002,GILIYAR,Harrier,Harrier XT+ Dark Edition,External Leads-Web,06 Sale Closed,AA10_3009550
3003,UDUPI,Punch,Punch Creative,Cold Calling,07 Closed Lost,AA10_3009550
3004,UDUPI,Altroz,Altroz XT 1.2 P,Events,07 Closed Lost,AA10_3009550
3005,UDUPI,Nexon,Nexon (P) XZ+ Dark,Events,07 Closed Lost,AA10_3009550
3006,HASSAN,Tigor,Tigor (P) XE New,External Leads-Web,07 Closed Lost,AA10_3009550
3007,UDUPI,Punch,Punch Adventure,External Leads-Web,07 Closed Lost,AA10_3009550
3008,UDUPI,Safari 2.0,Safari XZA+,Events,07 Closed Lost,AA10_3009550
3009,UDUPI,Nexon,Nexon (P) XZA+ Dark,External Leads-Web,07 Closed Lost,AA10_3009550
3010,UDUPI,Nexon,Nexon (P) XM (S),Digital Lead-Dealer,06 Sale Closed,AA10_3009550
3011,UDUPI,Altroz,Altroz XM+ 1.2 P,Digital Lead-Dealer,02a Pink Form,AA10_3009550
3012,UDUPI,Punch,Punch Pure,External Leads-Web,07 Closed Lost,AA10_3009550
3013,BENGALURU NORTH,Nexon,Nexon (P) XE New,External Leads-Web,07 Closed Lost,AA10_3009550
3014,UDUPI,Punch,Punch Pure,External Leads-Web,07 Closed Lost,AA10_3009550
3015,UDUPI,Harrier,Harrier XT New,External Leads-Web,07 Closed Lost,AA10_3009550
