ID,City,Parent Product Line,Product Line,Source of Contact,Sales Stage,Sales Team
1,UDUPI,Nexon,Nexon (P) XZ New,External Leads-Web,07 Closed Lost,KK15_3009550
2,KUNDAPURA,Altroz,Altroz XZ 1.2 P,Showroom Walk-in,06 Sale Closed,KK15_3009550
3,KONAJE,Nexon,Nexon (P) XE New,External Leads-Web,07 Closed Lost,KK15_3009550
4,UDUPI,Nexon,Nexon (P) XMA New,External Leads-Web,07 Closed Lost,KK15_3009550
5,UDUPI,Altroz,Altroz XE 1.5 D,External Leads-Web,07 Closed Lost,KK15_3009550
6,KUNDAPURA,Tiago,Tiago (P) XZ New,External Leads-Chat,07 Closed Lost,KK15_3009550
7,,Tiago,Tiago (P) XZ+ New,External Leads-Chat,02a Pink Form,KK15_3009550
8,UDUPI,Tiago,Tiago (P) XE New,External Leads-Web,07 Closed Lost,KK15_3009550
9,UDUPI,Altroz,Altroz XM 1.2 P,External Leads-Web,07 Closed Lost,KK15_3009550
10,KONAJE,Nexon,Nexon (P) XMA New,External Leads-Tollfree,07 Closed Lost,KK15_3009550
11,KADEKAR,Altroz,Altroz XE 1.2 P Rhytm,Cold Calling,06 Sale Closed,KK15_3009550
12,92 HEROOR,Nexon,Nexon (P) XZ+ New,Showroom Walk-in,06 Sale Closed,KK15_3009550
13,UDUPI,Altroz,Altroz XE 1.2 P,External Leads-Web,07 Closed Lost,KK15_3009550
14,UDUPI,Nexon,Nexon (P) XMA New,External Leads-Web,07 Closed Lost,KK15_3009550
15,UDUPI,Tiago,Tiago (P) XE New,External Leads-Tollfree,07 Closed Lost,KK15_3009550
16,KONAJE,Altroz,Altroz XE 1.5 D,External Leads-Web,07 Closed Lost,KK15_3009550
17,UDUPI,Nexon,Nexon (D) XMA New,External Leads-Dealer Website,07 Closed Lost,KK15_3009550
18,UDUPI,Tigor,Tigor (P) XE New,External Leads-Web,07 Closed Lost,KK15_3009550
19,UDUPI,Nexon,Nexon (D) XZ+ New,Cold Calling,07 Closed Lost,KK15_3009550
20,UDUPI,Altroz,Altroz XE 1.5 D,External Leads-Web,07 Closed Lost,KK15_3009550
21,UDUPI,Tiago,Tiago (P) XZ New,External Leads-Web,07 Closed Lost,KK15_3009550
22,UDUPI,Nexon,Nexon (P) XZ+ (S) New,External Leads-BAP,06 Sale Closed,KK15_3009550
23,KONAJE,Tiago,Tiago (P) XZA New,External Leads-Web,07 Closed Lost,KK15_3009550
24,UDUPI,Altroz,Altroz XT 1.2 P,External Leads-Web,07 Closed Lost,KK15_3009550
25,UDUPI,Altroz,Altroz XM+ 1.2 P,Showroom Walk-in,07 Closed Lost,KK15_3009550
26,TENKA,Harrier,Harrier XZA+,External Leads-Web,07 Closed Lost,KK15_3009550
27,UDUPI,Tiago,Tiago (P) XE New,External Leads-Web,07 Closed Lost,KK15_3009550
28,UDUPI,Altroz,Altroz XM+ 1.2 P,Showroom Walk-in,07 Closed Lost,KK15_3009550
29,UDUPI,Nexon,Nexon (P) XMA New,External Leads-Web,07 Closed Lost,KK15_3009550
30,UDUPI,Nexon,Nexon (P) XZ+ New,External Leads-Web,06 Sale Closed,KK15_3009550
31,UDUPI,Tiago,Tiago (P) XT New,External Leads-Web,07 Closed Lost,KK15_3009550
32,KUNDAPURA,Nexon,Nexon (P) XM New,Referral,06 Sale Closed,KK15_3009550
33,KUNDAPURA,Nexon,Nexon (D) XZA+ (O) New,Cold Calling,02a Pink Form,KK15_3009550
34,KONAJE,Tiago,Tiago (P) XZ+ New,External Leads-Web,07 Closed Lost,KK15_3009550
35,,Tiago,Tiago (P) XZ+ New,Call to Dealer,06 Sale Closed,KK15_3009550
36,UDUPI,Nexon,Nexon (P) XZ+ New,Showroom Walk-in,07 Closed Lost,KK15_3009550
37,KUNDAPURA,Tiago,Tiago (P) XE New,External Leads-Web,07 Closed Lost,KK15_3009550
38,BADAGABETTU (NO.80),Altroz,Altroz XE 1.2 P Rhytm,External Leads-Tollfree,06 Sale Closed,KK15_3009550
39,UDUPI,Tigor,Tigor (P) XE New,External Leads-Web,07 Closed Lost,KK15_3009550
40,UDUPI,Nexon,Nexon (P) XMA New,External Leads-Web,07 Closed Lost,KK15_3009550
41,UDUPI,Altroz,Altroz XT 1.2 P,Showroom Walk-in,07 Closed Lost,KK15_3009550
42,,Altroz,Altroz XT 1.2 P,Call to Dealer,06 Sale Closed,KK15_3009550
43,BADAGABETTU (NO.80),Nexon,Nexon (D) XM New,Referral,06 Sale Closed,KK15_3009550
44,ACHALADY,Altroz,Altroz XT 1.2 P,Referral,06 Sale Closed,KK15_3009550
45,UDUPI,Tiago,Tiago (P) XT New,External Leads-Web,07 Closed Lost,KK15_3009550
46,UDUPI,Tigor,Tigor (P) XM New,External Leads-Web,07 Closed Lost,KK15_3009550
47,UDUPI,Tigor,Tigor (P) XMA New,External Leads-Web,07 Closed Lost,KK15_3009550
48,UDUPI,Nexon,Nexon (P) XM New,External Leads-Web,07 Closed Lost,KK15_3009550
49,KOPPAL,Tigor,Tigor (P) XZ New,External Leads-Web,07 Closed Lost,KK15_3009550
50,UDUPI,Altroz,Altroz XE 1.2 P,External Leads-Web,07 Closed Lost,KK15_3009550
51,UDUPI,Nexon,Nexon (D) XE New,External Leads-Web,07 Closed Lost,KK15_3009550
52,UDUPI,Tiago,Tiago (P) XZ New,External Leads-Web,07 Closed Lost,KK15_3009550
53,UDUPI,Altroz,Altroz XT 1.5 D,Showroom Walk-in,07 Closed Lost,KK15_3009550
54,UDUPI,Nexon,Nexon (P) XZ New,External Leads-Web,07 Closed Lost,KK15_3009550
55,AMTOOR,Nexon EV,Nexon EV XM,External Leads-Web,07 Closed Lost,KK15_3009550
56,PERDOOR,Punch,Punch Adventure,Cold Calling,06 Sale Closed,KK15_3009550
57,KUMRAGOD,Nexon EV 2.0,Nexon EV 2.0 XZ+ Lux AC FC WMU,Referral,02a Pink Form,KK15_3009550
58,41 SHIROOR,Tiago,Tiago XE CNG,External Leads-Web,07 Closed Lost,KK15_3009550
59,BEGUVALLI,Nexon EV,Nexon EV XZ+ Lux,External Leads-Web,07 Closed Lost,KK15_3009550
60,33 SHIROOR,Nexon,Nexon (P) XE New,External Leads-Web,07 Closed Lost,KK15_3009550
61,KOTESHWAR,Nexon EV,Nexon EV XM,Call to Dealer,07 Closed Lost,KK15_3009550
62,BEGUVALLI,Nexon EV,Nexon EV XZ+,Call to Dealer,07 Closed Lost,KK15_3009550
63,NITTUR,Nexon EV,Nexon EV XM,Call to Dealer,07 Closed Lost,KK15_3009550
64,MOODUTHONSE,Nexon EV,Nexon EV XM,Referral,07 Closed Lost,KK15_3009550
65,KARKAL,Nexon EV 2.0,Nexon EV 2.0 XZ+,Call to Dealer,07 Closed Lost,KK15_3009550
66,INDRA NAGAR,Nexon EV 2.0,Nexon EV 2.0 XZ+,Showroom Walk-in,07 Closed Lost,KK15_3009550
67,BENGALURU,Nexon EV,Nexon EV Dark XZ+ Lux,Referral,03 Open Yellow / Booked,KK15_3009550
68,UDUPI,Nexon,Nexon (D) XM New,External Leads-Web,07 Closed Lost,KK15_3009550
69,MATPADY,Nexon EV 2.0,Nexon EV 2.0 XZ+ Lux AC FC WMU,Call to Dealer,06 Sale Closed,KK15_3009550
70,108 KALTHUR,Punch,Punch Creative,External Leads-Web,07 Closed Lost,KK15_3009550
71,KUNDAPURA,Nexon EV 2.0,Nexon EV 2.0 XZ+ Lux,Referral,07 Closed Lost,KK15_3009550
72,UTTARA KANNADA,Nexon EV 2.0,Nexon EV 2.0 XZ+ AC FC WMU,External Leads-Web,07 Closed Lost,KK15_3009550
73,AGASAVALLI,Nexon EV,Nexon EV XZ+ Lux,External Leads-Web,07 Closed Lost,KK15_3009550
74,BEEJADI,Nexon,Nexon (P) XM New,Call to Dealer,07 Closed Lost,KK15_3009550
75,BELENJE,Punch,Punch Pure,External Leads-Web,07 Closed Lost,KK15_3009550
76,52 HEROOR,Nexon,Nexon (D) XM New,External Leads-Web,07 Closed Lost,KK15_3009550
77,BENGALURU,Nexon EV,Nexon EV Dark XZ+ Lux,Call to Dealer,07 Closed Lost,KK15_3009550
78,UDUPI,Tigor,Tigor (P) XE New,External Leads-Web,07 Closed Lost,KK15_3009550
79,UDYAVARA,Harrier,Harrier XZA+ KZR,External Leads-Web,07 Closed Lost,KK15_3009550
80,KUNDAPURA,Harrier,Harrier XT+,External Leads-Web,07 Closed Lost,KK15_3009550
81,BEEJADI,Nexon EV,Nexon EV XZ+,Call to Dealer,07 Closed Lost,KK15_3009550
82,UDUPI,Harrier,Harrier XT+ Dark Edition,External Leads-Web,07 Closed Lost,KK15_3009550
83,108 KALTHUR,Nexon,Nexon (P) XE New,External Leads-Web,07 Closed Lost,KK15_3009550
84,KUNDAPURA,Altroz,Altroz XZ 1.2 P,Showroom Walk-in,06 Sale Closed,KK15_3009550
85,SANOOR,Nexon,Nexon (D) XMA (S),Referral,03 Open Yellow / Booked,KK15_3009550
86,KUNJIBETTU,Tiago,Tiago (P) XZ+ New,Showroom Walk-in,07 Closed Lost,KK15_3009550
87,KUNDAPURA,Nexon EV 2.0,Nexon EV 2.0 XZ+ Lux AC FC WMU,Referral,03 Open Yellow / Booked,KK15_3009550
88,HEBRI,Tiago,Tiago (P) XE New,External Leads-Web,07 Closed Lost,KK15_3009550
89,KUMRAGOD,Punch,Punch Adventure Rhythm,Showroom Walk-in,06 Sale Closed,KK15_3009550
90,BEEJADI,Punch,Punch Adventure,Call to Dealer,07 Closed Lost,KK15_3009550
91,KALLIANPUR,Nexon,Nexon (P) XZ+ (O) Dark,Call to Dealer,07 Closed Lost,KK15_3009550
92,GUJJADI,Nexon,Nexon (P) XZ+ New,Digital Lead-Dealer,06 Sale Closed,KK15_3009550
93,UDUPI,Nexon,Nexon (D) XZ+ New,External Leads-Web,07 Closed Lost,KK15_3009550
94,MOODUTHONSE,Nexon EV,Nexon EV XM,Call to Dealer,07 Closed Lost,KK15_3009550
95,SHIRVA,Nexon,Nexon (P) XZA+ New,Showroom Walk-in,02a Pink Form,KK15_3009550
96,MOODUTHONSE,Tiago,Tiago (P) XT New,Call to Dealer,07 Closed Lost,KK15_3009550
97,52 HEROOR,Nexon,Nexon (D) XZ+ (S) New,External Leads-Web,07 Closed Lost,KK15_3009550
98,BIMA NAGAR,Punch,Punch Accomplish,Events,07 Closed Lost,KK15_3009550
99,KALLIANPUR,Harrier,Harrier XT New,Showroom Walk-in,07 Closed Lost,KK15_3009550
100,108 KALTHUR,Punch,Punch KZR,External Leads-Web,07 Closed Lost,KK15_3009550
101,KARAMBALLI,Altroz,Altroz XT 1.2 P,Showroom Walk-in,07 Closed Lost,KK15_3009550
102,HAKLADI,Nexon,Nexon (P) XM New,Call to Dealer,02a Pink Form,KK15_3009550
103,MOODUTHONSE,Altroz,Altroz XE+ 1.2 P,Call to Dealer,07 Closed Lost,KK15_3009550
104,ADI UDUPI,Nexon EV,Nexon EV XM,Referral,07 Closed Lost,KK15_3009550
105,KODAVOOR,Nexon EV,Nexon EV XZ+,Referral,06 Sale Closed,KK15_3009550
106,GREAT NICOBAR,Nexon EV,Nexon EV Dark XZ+,External Leads-Web,07 Closed Lost,KK15_3009550
107,KALLIANPUR,Nexon EV,Nexon EV XM,Call to Dealer,07 Closed Lost,KK15_3009550
108,BIMA NAGAR,Tigor EV Ziptron,Tigor EV XZ+,Referral,07 Closed Lost,KK15_3009550
109,ADI UDUPI,Nexon EV,Nexon EV XM,Call to Dealer,07 Closed Lost,KK15_3009550
110,SHIRVA,Punch,Punch KZR,Referral,06 Sale Closed,KK15_3009550
111,CHANTHAR,Nexon EV 2.0,Nexon EV 2.0 XZ+ Lux AC FC WMU,Referral,06 Sale Closed,KK15_3009550
112,ADUVALLI .,Tigor EV Ziptron,Tigor EV XM,External Leads-Web,07 Closed Lost,KK15_3009550
113,SARALEBETTU,Nexon EV,Nexon EV XZ+,Call to Dealer,07 Closed Lost,KK15_3009550
114,A.  SHANBOGANAHALLI,Tigor EV Ziptron,Tigor EV XZ+ DT,External Leads-Web,07 Closed Lost,KK15_3009550
115,KUNDAPURA,Tigor,Tigor (P) XZ+ DT New,External Leads-Web,07 Closed Lost,KK15_3009550
116,KALLIANPUR,Nexon EV,Nexon EV XZ+,Showroom Walk-in,07 Closed Lost,KK15_3009550
117,KUNDAPURA,Nexon,Nexon (P) XE New,External Leads-Web,07 Closed Lost,KK15_3009550
118,BSNL QUARTER,Nexon EV,Nexon EV XM,Call to Dealer,07 Closed Lost,KK15_3009550
119,MANNAEKHALLI,Tigor EV,Tigor XE EV,External Leads-Web,07 Closed Lost,KK15_3009550
120,SALIGRAM,Altroz,Altroz XM+ 1.2 P,Showroom Walk-in,06 Sale Closed,KK15_3009550
121,UDUPI,Tiago,Tiago XE CNG,External Leads-Web,07 Closed Lost,KK15_3009550
122,UTTAR KANNADA,Tigor,Tigor (P) XE New,External Leads-Web,07 Closed Lost,KK15_3009550
123,ATHRADI,Nexon,Nexon (P) XZ+ Dark,Call to Dealer,06 Sale Closed,KK15_3009550
124,BELMAN,Nexon,Nexon (P) XZ+ DT P,Call to Dealer,07 Closed Lost,KK15_3009550
125,KUTHYAR,Altroz,Altroz XM+ 1.2 P,Showroom Walk-in,07 Closed Lost,KK15_3009550
126,108 KALTHUR,Altroz,Altroz XE 1.2 P,External Leads-Web,07 Closed Lost,KK15_3009550
127,UDUPI,Punch,Punch Adventure AMT,External Leads-Web,07 Closed Lost,KK15_3009550
128,108 KALTHUR,Altroz,Altroz XE+ 1.2 P,External Leads-Web,07 Closed Lost,KK15_3009550
129,TONSE EAST,Punch,Punch Accomplish,Call to Dealer,07 Closed Lost,KK15_3009550
130,YEDYADI-MATHYADI,Tigor EV Ziptron,Tigor EV XZ+,Referral,07 Closed Lost,KK15_3009550
131,UDUPI,Tigor EV Ziptron,Tigor EV XZ+,Referral,07 Closed Lost,KK15_3009550
132,KUNDAPURA,Nexon EV 2.0,Nexon EV 2.0 XZ+,External Leads-Web,07 Closed Lost,KK15_3009550
133,UDUPI,Tigor EV Ziptron,Tigor EV XM,External Leads-Web,07 Closed Lost,KK15_3009550
134,UDUPI,Tigor EV Ziptron,Tigor EV XZ+ DT,External Leads-Web,07 Closed Lost,KK15_3009550
135,KIDIYOOR,Nexon EV,Nexon EV XM,Call to Dealer,07 Closed Lost,KK15_3009550
136,ATHRADI,Nexon EV,Nexon EV XM,Showroom Walk-in,07 Closed Lost,KK15_3009550
137,ABBIMATTA,Tigor EV Ziptron,Tigor EV XM,External Leads-Web,07 Closed Lost,KK15_3009550
138,MOODUTHONSE,Nexon EV,Nexon EV XM,Call to Dealer,07 Closed Lost,KK15_3009550
139,UDUPI,Nexon EV,Nexon EV XZ+,Call to Dealer,07 Closed Lost,KK15_3009550
140,UDUPI,Tigor EV Ziptron,Tigor EV XZ+,Referral,06 Sale Closed,KK15_3009550
141,UDUPI,Nexon,Nexon (D) XM New,External Leads-Web,07 Closed Lost,KK15_3009550
142,KUNDAPURA,Punch,Punch Adventure AMT,Call to Dealer,07 Closed Lost,KK15_3009550
143,UTTAR KANNADA,Altroz,Altroz XE+ 1.2 P,External Leads-Web,07 Closed Lost,KK15_3009550
144,ATHRADI,Tiago,Tiago (P) XE New,External Leads-Web,07 Closed Lost,KK15_3009550
145,41 SHIROOR,Nexon EV 2.0,Nexon EV 2.0 XZ+,External Leads-Web,07 Closed Lost,KK15_3009550
146,PERDOOR,Punch,Punch Adventure Rhythm,External Leads-Web,07 Closed Lost,KK15_3009550
147,KUNDAPURA,Punch,Punch Pure,External Leads-Web,07 Closed Lost,KK15_3009550
148,KINNIMULKI,Tigor EV,Tigor EV XT+,Call to Dealer,07 Closed Lost,KK15_3009550
149,UDUPI,Tiago,Tiago XT CNG,External Leads-Web,07 Closed Lost,KK15_3009550
150,AJRI,Harrier,Harrier XE New,External Leads-Web,07 Closed Lost,KK15_3009550
151,AMBALPADI,Nexon EV 2.0,Nexon EV 2.0 XZ+ Lux AC FC WMU,Showroom Walk-in,06 Sale Closed,KK15_3009550
152,UDUPI,Altroz,Altroz XE 1.2 P,External Leads-Web,07 Closed Lost,KK15_3009550
153,108 KALTHUR,Tiago,Tiago (P) XE New,External Leads-Web,07 Closed Lost,KK15_3009550
154,UDUPI,Punch,Punch Creative,Call to Dealer,06 Sale Closed,KK15_3009550
155,UDUPI,Nexon,Nexon (D) XM New,Call to Dealer,07 Closed Lost,KK15_3009550
156,UDUPI,Punch,Punch Adventure,External Leads-Web,07 Closed Lost,KK15_3009550
157,UDUPI,Altroz,Altroz XE 1.2 P,External Leads-Web,07 Closed Lost,KK15_3009550
158,BIMA NAGAR,Nexon,Nexon (P) XM (S),Showroom Walk-in,07 Closed Lost,KK15_3009550
159,BENGALURU,Punch,Punch Accomplish AMT,External Leads-Web,07 Closed Lost,KK15_3009550
160,BIMA NAGAR,Harrier,Harrier XZA+,Showroom Walk-in,07 Closed Lost,KK15_3009550
161,BIMA NAGAR,Altroz,Altroz XT 1.2 P,Call to Dealer,07 Closed Lost,KK15_3009550
162,108 KALTHUR,Tigor,Tigor (P) XE New,External Leads-Web,07 Closed Lost,KK15_3009550
163,KUNDAPURA,Nexon,Nexon (P) XM (S),Call to Dealer,07 Closed Lost,KK15_3009550
164,MANGALORE,Punch,Punch Pure,External Leads-Web,07 Closed Lost,KK15_3009550
165,UDUPI,Nexon EV,Nexon EV Dark XZ+,External Leads-Web,07 Closed Lost,KK15_3009550
166,TONSE EAST,Tigor,Tigor (P) XZ+ DT New,Call to Dealer,07 Closed Lost,KK15_3009550
167,DODDANAGUDDE,Altroz,Altroz XZ 1.2 P,Showroom Walk-in,07 Closed Lost,KK15_3009550
168,UDUPI,Punch,Punch Pure,External Leads-Web,07 Closed Lost,KK15_3009550
169,KOLA,Nexon,Nexon (P) XZ+ DT P,Showroom Walk-in,07 Closed Lost,KK15_3009550
170,KUNDAPURA,Tigor,Tigor XZ CNG,External Leads-Web,07 Closed Lost,KK15_3009550
171,TONSE EAST,Harrier,Harrier XT+,Call to Dealer,07 Closed Lost,KK15_3009550
172,BENGALURU,Nexon,Nexon (P) XE New,External Leads-Web,07 Closed Lost,KK15_3009550
173,ADI UDUPI,Punch,Punch Accomplish,Call to Dealer,07 Closed Lost,KK15_3009550
174,KUTHPADY,Altroz,Altroz XZ+ 1.2 P,Showroom Walk-in,07 Closed Lost,KK15_3009550
175,KINNIMULKI,Harrier,Harrier XTA+,Showroom Walk-in,07 Closed Lost,KK15_3009550
176,BENGALURU,Nexon,Nexon (D) XZ+ (O) Dark,Showroom Walk-in,07 Closed Lost,KK15_3009550
177,BEEJADI,Nexon,Nexon (P) XM (S),Call to Dealer,07 Closed Lost,KK15_3009550
178,MANOOR,Punch,Punch Accomplish Dazzle,Showroom Walk-in,06 Sale Closed,KK15_3009550
179,108 KALTHUR,Tiago,Tiago (P) XE New,External Leads-Web,07 Closed Lost,KK15_3009550
180,UDUPI,Tiago,Tiago (P) XE New,External Leads-Web,07 Closed Lost,KK15_3009550
181,HONNALA,Altroz,Altroz XZ+ 1.2 P,Showroom Walk-in,07 Closed Lost,KK15_3009550
182,BEEJADI,Harrier,Harrier XTA+,Call to Dealer,07 Closed Lost,KK15_3009550
183,MOODUTHONSE,Nexon,Nexon (P) XM New,Call to Dealer,07 Closed Lost,KK15_3009550
184,UDUPI,Nexon,Nexon (P) XM New,External Leads-Web,07 Closed Lost,KK15_3009550
185,BENGALURU,Nexon,Nexon (P) XZ+ (O) Dark,Call to Dealer,07 Closed Lost,KK15_3009550
186,HANGALOOR,Nexon EV 2.0,Nexon EV 2.0 XZ+ Lux,Call to Dealer,02a Pink Form,KK15_3009550
187,UDUPI,Harrier,Harrier XTA+,Call to Dealer,07 Closed Lost,KK15_3009550
188,KUNDAPURA,Nexon,Nexon (P) XE New,External Leads-Web,07 Closed Lost,KK15_3009550
189,2ND COLONY,Tiago,Tiago (P) XE New,External Leads-Web,07 Closed Lost,KK15_3009550
190,GREAT NICOBAR,Nexon EV,Nexon EV XM,External Leads-Web,07 Closed Lost,KK15_3009550
191,BIMA NAGAR,Harrier,Harrier XTA+,Call to Dealer,07 Closed Lost,KK15_3009550
192,UDUPI,Harrier,Harrier XM New,External Leads-Web,07 Closed Lost,KK15_3009550
193,UDUPI,Nexon,Nexon (D) XM New,Call to Dealer,07 Closed Lost,KK15_3009550
194,ELECTRONICS CITY,Safari 2.0,Safari XT+,Showroom Walk-in,07 Closed Lost,KK15_3009550
195,UDUPI,Tigor EV Ziptron,Tigor EV XZ+,External Leads-Web,07 Closed Lost,KK15_3009550
196,UDUPI,Harrier,Harrier XE New,External Leads-Web,07 Closed Lost,KK15_3009550
197,UDUPI,Nexon EV,Nexon EV XM,External Leads-Web,07 Closed Lost,KK15_3009550
198,HUBLI-DHARWAD,Harrier,Harrier XT+,External Leads-Web,07 Closed Lost,KK15_3009550
199,AJRI,Punch,Punch Pure,External Leads-Web,07 Closed Lost,KK15_3009550
200,MOODUTHONSE,Nexon EV,Nexon EV XM,Call to Dealer,07 Closed Lost,KK15_3009550
201,KUNDAPURA,Harrier,Harrier XE New,External Leads-Web,07 Closed Lost,KK15_3009550
202,HANGALOOR,Nexon EV,Nexon EV XZ+ Lux,Call to Dealer,02a Pink Form,KK15_3009550
203,KATAPADY,Nexon,Nexon (P) XZ+ DT HS,External Leads - SSS Self,02a Pink Form,KK15_3009550
204,KINNIMULKI,Safari 2.0,Safari XTA+,Call to Dealer,07 Closed Lost,KK15_3009550
205,MANCHIKERE,Nexon,Nexon (D) XZ+ HS,Showroom Walk-in,07 Closed Lost,KK15_3009550
206,UDUPI,Altroz,Altroz XT 1.2 P,Call to Dealer,07 Closed Lost,KK15_3009550
207,108 KALTHUR,Nexon EV,Nexon EV Dark XZ+,External Leads-Web,07 Closed Lost,KK15_3009550
208,KUNDAPURA,Tiago,Tiago (P) XE New,External Leads-Web,07 Closed Lost,KK15_3009550
209,UDUPI,Punch,Punch Accomplish,External Leads-Web,07 Closed Lost,KK15_3009550
210,HALEANGADY,Punch,Punch Adventure,Showroom Walk-in,02a Pink Form,KK15_3009550
211,GOPADI,Altroz,Altroz XT 1.2 P,Call to Dealer,07 Closed Lost,KK15_3009550
212,UDUPI,Nexon,Nexon (P) XM New,External Leads-Web,07 Closed Lost,KK15_3009550
213,UDUPI,Tiago,Tiago (P) XT New,External Leads-Web,07 Closed Lost,KK15_3009550
214,UDUPI,Tiago,Tiago (P) XZA New,External Leads-Chat,07 Closed Lost,KK15_3009550
215,UDUPI,Tiago,Tiago (P) XT New,External Leads-Web,07 Closed Lost,KK15_3009550
216,BELVE,Harrier,Harrier XZA+ Dark Edition,Showroom Walk-in,06 Sale Closed,KK15_3009550
217,SHANTHI NAGAR,Nexon EV,Nexon EV XM,Referral,07 Closed Lost,KK15_3009550
218,UDUPI,Nexon EV 2.0,Nexon EV 2.0 XZ+ Lux AC FC WMU,Showroom Walk-in,03 Open Yellow / Booked,KK15_3009550
219,UDUPI,Nexon EV,Nexon EV XM,Call to Dealer,07 Closed Lost,KK15_3009550
220,GUJJADI,Nexon EV,Nexon EV Dark XZ+ Lux,Showroom Walk-in,02a Pink Form,KK15_3009550
221,ATHRADI,Nexon EV,Nexon EV XM,Call to Dealer,07 Closed Lost,KK15_3009550
222,UDUPI,Nexon EV,Nexon EV Dark XZ+,Referral,06 Sale Closed,KK15_3009550
223,UDUPI,Punch,Punch Adventure AMT,External Leads-Web,07 Closed Lost,KK15_3009550
224,KUNDAPURA,Nexon,Nexon (P) XM (S),Showroom Walk-in,07 Closed Lost,KK15_3009550
225,ATHRADI,Punch,Punch Accomplish,Showroom Walk-in,07 Closed Lost,KK15_3009550
226,INDUSTRIAL AREA,Punch,Punch Adventure AMT,Showroom Walk-in,07 Closed Lost,KK15_3009550
227,BEEJADI,Nexon EV,Nexon EV XM,Showroom Walk-in,07 Closed Lost,KK15_3009550
228,KUMTA,Punch,Punch Accomplish Dazzle,Showroom Walk-in,07 Closed Lost,KK15_3009550
229,UDUPI,Nexon,Nexon (P) XM (S),Call to Dealer,07 Closed Lost,KK15_3009550
230,MOODUTHONSE,Nexon,Nexon (P) XM New,Showroom Walk-in,07 Closed Lost,KK15_3009550
231,SHIRA,Punch,Punch Adventure,Showroom Walk-in,07 Closed Lost,KK15_3009550
232,TONSE EAST,Nexon,Nexon (P) XZ+ DT P,Showroom Walk-in,07 Closed Lost,KK15_3009550
233,KUKKUNDOOR,Nexon,Nexon (P) XM New,Showroom Walk-in,07 Closed Lost,KK15_3009550
234,HALADY (76),Harrier,Harrier XZA+,Showroom Walk-in,07 Closed Lost,KK15_3009550
235,UDUPI,Nexon,Nexon (P) XE New,External Leads-Web,07 Closed Lost,KK15_3009550
236,HANDADI,Harrier,Harrier XT+,Showroom Walk-in,07 Closed Lost,KK15_3009550
237,UDUPI,Altroz,Altroz XM+ 1.2 P,Showroom Walk-in,07 Closed Lost,KK15_3009550
238,ATHRADI,Nexon EV,Nexon EV XZ+,External Leads-Web,07 Closed Lost,KK15_3009550
239,UDUPI,Altroz,Altroz XTA 1.2 P,Showroom Walk-in,07 Closed Lost,KK15_3009550
240,KINNIMULKI,Punch,Punch Accomplish Dazzle,Showroom Walk-in,07 Closed Lost,KK15_3009550
241,KUNDAPURA,Nexon,Nexon (D) XZ+ New,External Leads-Web,07 Closed Lost,KK15_3009550
242,MANCHIKERE,Altroz,Altroz XM+ 1.2 P,Call to Dealer,07 Closed Lost,KK15_3009550
243,BHAGYAMANDIRA MUNICIPAL COLONY,Tiago,Tiago (P) XTO,Showroom Walk-in,07 Closed Lost,KK15_3009550
244,KARKAL,Tiago,Tiago (P) XTA New,Call to Dealer,07 Closed Lost,KK15_3009550
245,ANANTH NAGAR,Punch,Punch Creative,Showroom Walk-in,07 Closed Lost,KK15_3009550
246,ACHALADY,Nexon,Nexon (P) XZ+ (O) New,Showroom Walk-in,07 Closed Lost,KK15_3009550
247,BADAGABETTU (NO. 80),Nexon EV,Nexon EV XM,Showroom Walk-in,07 Closed Lost,KK15_3009550
248,108 KALTHUR,Punch,Punch Adventure AMT,External Leads-Web,07 Closed Lost,KK15_3009550
249,BEEJADI,Altroz,Altroz XZ 1.2 P,Showroom Walk-in,07 Closed Lost,KK15_3009550
250,MARABU,Punch,Punch Accomplish Dazzle,Showroom Walk-in,07 Closed Lost,KK15_3009550
251,KALLIANPUR,Altroz,Altroz XE 1.5 D,Showroom Walk-in,07 Closed Lost,KK15_3009550
252,KOTESHWAR,Harrier,Harrier XT+,Showroom Walk-in,07 Closed Lost,KK15_3009550
253,BIMA NAGAR,Tiago,Tiago (P) XTO,Showroom Walk-in,07 Closed Lost,KK15_3009550
254,MOODUTHONSE,Altroz,Altroz XM+ 1.2 P,Call to Dealer,07 Closed Lost,KK15_3009550
255,ESHWAR NAGAR,Nexon,Nexon (P) XZ+ New,Showroom Walk-in,07 Closed Lost,KK15_3009550
256,INDRA NAGAR,Nexon,Nexon (P) XZ+ (O) Dark,Showroom Walk-in,07 Closed Lost,KK15_3009550
257,BENGALURU RURAL,Tigor EV Ziptron,Tigor EV XM,External Leads-Web,07 Closed Lost,KK15_3009550
258,108 KALTHUR,Tiago,Tiago (P) XE New,External Leads-Web,07 Closed Lost,KK15_3009550
259,BEEJADI,Altroz,Altroz XM+ 1.2 P,Showroom Walk-in,07 Closed Lost,KK15_3009550
260,SHIRVA,Punch,Punch Accomplish Dazzle,Showroom Walk-in,07 Closed Lost,KK15_3009550
261,TONSE EAST,Nexon,Nexon (P) XM New,Call to Dealer,07 Closed Lost,KK15_3009550
262,INDRA NAGAR,Punch,Punch Adventure AMT,Showroom Walk-in,07 Closed Lost,KK15_3009550
